TODATE,kVA,kVAR,kW
03:35,0.1032393873,-0.03258680925,0.06590034813
03:37,0.1032292992,-0.03259047121,0.06568358094
03:39,0.1031874716,-0.03280827403,0.06567728519
03:41,0.1033195034,-0.0325829424,0.06611972302
03:43,0.1032334343,-0.03262638301,0.06575596333
03:45,0.1031669229,-0.03249332681,0.06574025005
03:47,0.1031791121,-0.03251261637,0.06574033946
03:49,0.1030982733,-0.03264447302,0.06601394713
03:51,0.1033016071,-0.03257243335,0.06590473652
03:53,0.1031964719,-0.03259037435,0.06590455025
03:55,0.1032982171,-0.03259029239,0.06590438634
03:57,0.1031663865,-0.03281057253,0.06590453535
03:59,0.1031621769,-0.03242890164,0.06601813436
04:01,0.1032565311,-0.03259018064,0.06590415537
04:03,0.1031154394,-0.03266723454,0.06589359045
04:05,0.103215307,-0.03252794221,0.06578434259
04:07,0.1031452939,-0.03259024397,0.06590428948
04:09,0.1032387763,-0.03242395818,0.06601405889
04:11,0.1030826345,-0.03264448792,0.06579244882
04:13,0.1033666208,-0.03264448792,0.06601397693
04:15,0.1031201929,-0.03280861676,0.06590060145
04:17,0.1032914668,-0.03256850317,0.06590004265
04:19,0.1032445356,-0.03264459223,0.066014193
04:21,0.1032218561,-0.03259049729,0.06590480357
04:23,0.103261508,-0.03275110573,0.06600884348
04:25,0.1031322703,-0.03259045258,0.06590470672
04:27,0.1031585038,-0.0324306637,0.06585465372
04:29,0.1031124219,-0.03246443346,0.06604529172
04:31,0.1031309739,-0.03259022906,0.06590425968
04:33,0.1031374112,-0.03259033337,0.0659044683
04:35,0.1032437906,-0.03260843828,0.06590456516
04:37,0.1031400263,-0.03264459223,0.06579266489
04:39,0.1031330824,-0.03258663416,0.0658999905
04:41,0.1031071693,-0.03251940757,0.06594376266
04:43,0.1031532288,-0.03258290887,0.0658955127
04:45,0.1031210944,-0.03264471889,0.06579291821
04:47,0.1031612009,-0.03242417052,0.06597791612
04:49,0.1030333042,-0.03242386878,0.06579235941
04:51,0.1031450927,-0.0325903073,0.06590441614
04:53,0.1031032503,-0.03275095299,0.06578478217
04:55,0.1030789241,-0.0325868316,0.06590039283
04:57,0.103128247,-0.03252817318,0.06578480452
04:59,0.1149355918,-0.03237008303,0.06612552702
05:01,0.1151414961,-0.03259043023,0.06590466201
05:03,0.4019367099,0.2230177075,0.1532735974
05:05,0.4031731486,0.2239489108,0.1537037045
05:07,0.1032061204,-0.03230531141,0.06600844115
05:09,0.1031622067,-0.03237017244,0.06612570584
05:11,0.1030801386,-0.03242402896,0.0660142079
